time_ms,CH1_raw,CH4_raw,Diff_C1_C4,Temp_C
"{""status"":""zero_done""","""base_pF"":[0.0005",0.0005,0.0005,0.0005]}
327635,9591,9551,40.00,23751
327659,9836,9548,288.00,23750
327683,9579,9167,412.00,23810
327707,9958,9662,296.00,23691
327731,9864,9365,499.00,23751
327755,9776,9613,163.00,23751
327779,9849,9697,152.00,23751
327803,9646,9368,278.00,23751
327827,9793,9527,266.00,23751
327851,9656,9413,243.00,23751
327875,9624,9801,-177.00,23751
327899,9810,9401,409.00,23735
327923,9597,9435,162.00,23750
327947,9895,9498,397.00,23751
327971,9872,9336,536.00,23751
327996,9681,9691,-10.00,24329
328021,9625,9181,444.00,23706
328045,9590,9593,-3.00,23750
328069,9799,9103,696.00,23735
328093,9515,9509,6.00,23783
328117,9949,9715,234.00,23720
328141,9459,9293,166.00,23751
328165,9517,9503,14.00,23750
328189,9772,9286,486.00,23750
328213,9524,9404,120.00,23751
328237,9714,9433,281.00,23751
328261,9408,9367,41.00,23751
328285,9636,9419,217.00,23751
328309,9697,9478,219.00,23751
328333,9461,9259,202.00,23751
328357,9591,9724,-133.00,23751
328381,9666,9319,347.00,23735
328405,9581,9485,96.00,23750
328429,9834,9385,449.00,23751
328453,9591,9341,250.00,23751
328477,9606,9536,70.00,23751
328501,9599,9226,373.00,23751
328525,9855,9471,384.00,23743
328549,9904,9292,612.00,23750
328573,9517,9387,130.00,23751
328597,9694,9562,132.00,23751
328621,9523,9361,162.00,23752
328645,9689,9704,-15.00,23751
328669,9679,9526,153.00,23734
328693,9436,9468,-32.00,23751
328717,9694,9639,55.00,23735
328741,9526,9297,229.00,23751
328765,9569,9622,-53.00,23750
328789,9903,9371,532.00,23735
328813,9682,9502,180.00,23751
328837,9435,9763,-328.00,23751
328861,9434,9271,163.00,23735
328885,9547,9483,64.00,23751
328909,9849,9215,634.00,23751
328933,9493,9343,150.00,23751
328957,9604,9658,-54.00,23751
328981,9584,9304,280.00,23735
329006,10018,9421,597.00,24336
329031,9866,9398,468.00,23724
329055,9733,9656,77.00,23750
329079,9825,9783,42.00,23751
329103,9653,9316,337.00,23752
329127,9878,9950,-72.00,23751
329151,9782,9398,384.00,23734
329175,9756,9709,47.00,23751
329199,9959,9606,353.00,23750
